,q,que,ai_answer,actual_send_answer,kb_ids,new_refer
165,压根不是黄瓜籽粉,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""你家都是啥呀,这是黄瓜籽粉吗""},{""role"":""assistant"",""content"":""是的呢亲""},{""role"":""user"",""content"":""我需要合理解释""},{""role"":""assistant"",""content"":""什么问题呢亲""},{""role"":""user"",""content"":""里面全是玉米面""},{""role"":""assistant"",""content"":""亲亲,咱是黄瓜籽粉哈可以参考配料表看下哈""},{""role"":""user"",""content"":""我需要联系12315客服问一下""},{""role"":""assistant"",""content"":""亲亲,实在抱歉亲咱是黄瓜籽粉的哈""},{""role"":""user"",""content"":""压根不是黄瓜籽粉""}]","亲亲,咱是黄瓜籽粉哈,可以查看配料表哈","亲亲,咱是黄瓜籽粉哈,可以查看配料表哈","8, 18","['问题：""压根不是黄瓜籽粉"", 答案：""亲亲，咱是黄瓜籽粉哈，可以查看配料表哈""', '问题：""不是黄瓜籽粉不是黄瓜籽粉"", 答案：""亲亲，纯黄瓜籽粉哦。""', '问题：""你的黄瓜籽粉用啥做的？根本就不是黄瓜籽粉"", 答案：""亲亲，咱家的黄瓜籽粉是纯黄瓜籽做的哦""', '问题：""这黄瓜籽粉什么问一点也不好"", 答案：""亲，黄瓜籽粉是纯天然的哦，没有添加任何色素和防腐剂，所以颜色会比较自然。""', '问题：""是黄瓜籽粉，不是黄瓜籽磨的粉吗"", 答案：""现磨原粉的""']"
166,无糖的吗？素燕麦吗？纯燕麦是么,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""无糖的吗？""},{""role"":""user"",""content"":""素燕麦吗？""},{""role"":""user"",""content"":""无糖的吗？素燕麦吗？纯燕麦是么""}]","亲,这款燕麦片是无糖的哦,纯燕麦片,口感很好,可以放心食用哦~","亲,这款燕麦片是无糖的哦,纯燕麦片,口感很好,可以放心食用哦~","10, 18","['问题：""这个有脂肪嘛是不是减肥燕麦"", 答案：""亲，纯燕麦哈""', '问题：""你这是什么燕麦还这么贵"", 答案：""纯正燕麦哦""', '问题：""有脂肪吗"", 答案：""纯燕麦的哦成分都是燕麦自带的""', '问题：""无糖的吗"", 答案：""零添加蔗糖哈亲但是产品本身含有一定的糖份哦""', '问题：""这个燕麦是燕麦片吗？没有粉的那种吗"", 答案：""亲，这款燕麦片是即食的哦，开袋即食，非常方便哦~""']"
167,是哪里发货的？什么牌子？生产企业名称？,"[{""role"":""user"",""content"":""老板早上好[握手][玫瑰]""},{""role"":""assistant"",""content"":""早上好呀,亲~有什么问题可以问我哦~""},{""role"":""user"",""content"":""贵家的货生产日期？""},{""role"":""assistant"",""content"":""都是近期生产的哦~""},{""role"":""user"",""content"":""是哪里发货的？什么牌子？生产企业名称？""}]","亲,我们的商品是在山东枣庄生产的,品牌是谷物盟主,生产企业是知域生物科技（山东）有限公司哦~","亲,我们的商品是在山东枣庄，品牌是谷物盟主,生产企业是知域生物科技（山东）有限公司哦~","18, 17","['问题：""什么品牌，什么厂生产的？"", 答案：""亲，店铺详情看下哈""', '问题：""哪里发货哪里生产的"", 答案：""亲亲，我们的发货地是山东枣庄哦。""', '问题：""产地是哪里？什么地方发货？可能回答了"", 答案：""亲亲，我们的产地是山东枣庄哦，发货地也是山东枣庄哦。""', '问题：""有产地、厂家、商标吗？"", 答案：""可以参考店铺详情看下""', '问题：""请问哪里生产？"", 答案：""亲，我们的产品是在山东枣庄生产的哦~""']"
168,两罐都是700g吗？,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""两罐都是700g吗？""}]","亲,两罐都是700g哈~",一罐350g的亲 二罐是700g,"10, 18","['问题：""两罐都是700g吗？"", 答案：""一罐350g的亲 二罐是700g""', '问题：""一罐700克，还是两罐"", 答案：""两罐700g""', '问题：""两罐共700克？"", 答案：""亲，是的，两罐700克哦~""', '问题：""2罐都是700g吗还是一共"", 答案：""亲，两罐总共700g哦~ 一罐350g""', '问题：""是两罐一共700克还是一罐700克"", 答案：""是的 亲 一罐350g""']"
169,"我点错了,可不可以退货","[{""role"":""user"",""content"":""我点错了,可不可以退货""}]","亲,可以的,您只需要在订单中申请退货,然后按照流程操作即可。","亲,可以的",18,"['问题：""我点错了，可不可以退货"", 答案：""亲，可以的，您只需要在订单中申请退款就可以哦""', '问题：""点错了不退货"", 答案：""好的亲，。您取消退货退款申请就可以哈""', '问题：""我要退款点错了"", 答案：""亲，直接申请就可以哈~""', '问题：""能退货嘛"", 答案：""亲亲，因为什么呢""', '问题：""拍错了退款退货"", 答案：""亲，可以的，您只需要在订单中申请退款就可以哦。""']"
170,下次买你的货能不能别发极兔快递啊,"[{""role"":""user"",""content"":""我已经拼单成功15小时,能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲亲,会尽快的哈""},{""role"":""user"",""content"":""我已经拼单成功20小时,能尽快帮我发货吗？""},{""role"":""assistant"",""content"":""亲,初六之后开始陆续按订单顺序发货,咱会尽快处理的哈""},{""role"":""user"",""content"":""下次买你的货能不能别发极兔快递啊""}]","亲亲,我们会尽量安排其他快递,但具体快递方式需要根据仓库的实际情况来定哦。","极兔 中通,邮政,不指定快递,仓库随机发",18,"['问题：""能不能不要发极兔快递"", 答案：""抱歉呢亲咱也没法指定快递的哈""', '问题：""极兔我收不到别发快递会丢到时候还得找你解决"", 答案：""亲 我们会根据仓库的发货情况随机发出的哦 不支持指定快递哦""', '问题：""请不要极兔快递"", 答案：""亲，不支持指定快递哦，已发出是极兔的""', '问题：""发什么快递？发什么快递？不要发极兔，这边收不到"", 答案：""极兔 中通，邮政，不指定快递，仓库随机发的亲""', '问题：""发极兔快递"", 答案：""不指定快递，仓库随机发哦。""']"
171,你好在那里申请退款,"[{""role"":""user"",""content"":""你好不好意思,退了吧""},{""role"":""assistant"",""content"":""好的亲直接申请即可""},{""role"":""user"",""content"":""你好在那里申请退款""}]","亲亲,您可以在订单详情页申请退款哦~","亲亲,您可以在订单详情页申请退款哦~",18,"['问题：""怎么申请退款？"", 答案：""亲，可以通过订单直接申请退款哦~""', '问题：""你好在吗我要求退款"", 答案：""什么问题呢亲""', '问题：""申请退款。我要退款"", 答案：""您拒收就可以哈这边联系退回了售后核实以后会处理的""', '问题：""这个货我没收到上面显示已签收，可是我没有拿呀"", 答案：""亲，申请退款哈""', '问题：""你好这个显示退回商家本人签収收"", 答案：""申请下退款亲""']"
172,你好我看怎么还有羊肠衣和猪肠衣？有啥区别,"[{""role"":""user"",""content"":""那种烤肠要风干多久""},{""role"":""user"",""content"":""不是腊肠""},{""role"":""assistant"",""content"":""亲 这个不确定哦 与您当地气候有关""},{""role"":""user"",""content"":""北方""},{""role"":""assistant"",""content"":""亲,北方的气候比较干燥,风干的时间可能会短一些哦。""},{""role"":""user"",""content"":""1-2天可以吗一般""},{""role"":""assistant"",""content"":""可以""},{""role"":""user"",""content"":""好的谢谢""},{""role"":""assistant"",""content"":""不客气""},{""role"":""user"",""content"":""你好我看怎么还有羊肠衣和猪肠衣？有啥区别""}]","亲,猪肠衣和羊肠衣的主要区别在于口感和味道。猪肠衣有腥味,羊肠衣有膻味。另外,羊肠衣口径比较小,皮质比较薄,口感比较脆,而猪肠衣口径比较大,皮质比较厚,口感比较软。","亲,猪肠衣和羊肠衣的主要区别在于口感和味道。猪肠衣有腥味,羊肠衣有膻味。另外,羊肠衣口径比较小,皮质比较薄,口感比较脆,而猪肠衣口径比较大,皮质比较厚,口感比较软。","22, 23","['问题：""肠衣是不是猪的噢"", 答案：""咱们有猪肠衣和羊肠衣，两个选项""', '问题：""你好这个真的是猪肠衣这个真的是猪肠衣这个真的是猪肠衣吗"", 答案：""对的亲 天然猪小肠的""', '问题：""就是猪肠衣粗羊肠衣细，是这样的吗口感也不一样的"", 答案：""亲，猪肠衣口径3.8-4.0左右，羊肠衣口径1.8-2.2厘米。""', '问题：""猪肠衣和羊肠衣的区别"", 答案：""亲，猪肠衣口径3.8-4.0左右，羊肠衣口径1.8-2.2左右 羊肠衣口径比较小皮质比较薄，口感比较脆，猪肠衣口径比较大，皮质比较厚，一般切片吃。""', '问题：""肠衣是猪的好还是羊的好啊"", 答案：""亲，羊肠衣口径比较小皮质比较薄，口感比较脆，猪肠衣口径比较大，皮质比较厚，一般切片吃\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t""']"
173,哦哦好的谢谢,"[{""role"":""user"",""content"":""和外边的烤肠差不多粗细吗""},{""role"":""assistant"",""content"":""亲,我们的肠衣口径3.8-4.0左右,和外边的烤肠差不多粗细哦。""},{""role"":""user"",""content"":""能灌10斤肉的有几根？""},{""role"":""assistant"",""content"":""没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦""},{""role"":""user"",""content"":""灌完就直接蒸煮不会破吧？""},{""role"":""assistant"",""content"":""亲,灌好后扎孔风干,小火蒸煮,避免蒸煮爆裂哦。""},{""role"":""user"",""content"":""先风干一下在扎孔蒸是吗？""},{""role"":""assistant"",""content"":""亲 扎孔后风干 然后蒸""},{""role"":""user"",""content"":""哦哦好的谢谢""}]","亲,灌好香肠后,可以用烟熏哦。",不客气,"22, 23","['问题：""哦哦好的谢谢"", 答案：""好的，谢谢您的支持哦~""', '问题：""好的谢谢"", 答案：""好的亲🌹""', '问题：""好的，谢谢好的"", 答案：""客气了亲""', '问题：""谢谢"", 答案：""感谢您的光临，祝您生活愉快，再见！""', '问题：""哦，好的好的"", 答案：""嗯嗯""']"
174,先风干一下在扎孔蒸是吗？,"[{""role"":""assistant"",""content"":""罐好后系绳子扎孔,风干或者蒸煮,根据个人口感哦\""。""},{""role"":""user"",""content"":""和外边的烤肠差不多粗细吗""},{""role"":""assistant"",""content"":""亲,我们的肠衣口径3.8-4.0左右,和外边的烤肠差不多粗细哦。""},{""role"":""user"",""content"":""能灌10斤肉的有几根？""},{""role"":""assistant"",""content"":""没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦""},{""role"":""user"",""content"":""灌完就直接蒸煮不会破吧？""},{""role"":""assistant"",""content"":""亲,灌好后扎孔风干,小火蒸煮,避免蒸煮爆裂哦。""},{""role"":""user"",""content"":""先风干一下在扎孔蒸是吗？""}]","亲,不需要风干,直接扎孔蒸就可以啦。",亲 扎孔后风干 然后蒸,"22, 23","['问题：""先风干一下在扎孔蒸是吗？"", 答案：""扎孔风干后蒸煮亲。水开以后小火蒸煮30分钟哈""', '问题：""需要扎眼吗"", 答案：""需要扎孔风干""', '问题：""好一般蒸多久合适"", 答案：""亲，扎孔风干后，水开小火蒸煮20-30分钟，具体时间还要看火候哦~""', '问题：""罐好了要不要给肉肠上牙签扎冻洞是蒸的时候在扎吗"", 答案：""亲，扎洞风干，或蒸前扎洞都是可以的""', '问题：""就是蒸熟风干的？"", 答案：""亲需要先扎口风干哦""']"
175,灌完就直接蒸煮不会破吧？,"[{""role"":""user"",""content"":""你好这款肠衣灌完直接上锅蒸或煮都可以吗""},{""role"":""assistant"",""content"":""罐好后系绳子扎孔,风干或者蒸煮,根据个人口感哦\""。""},{""role"":""user"",""content"":""和外边的烤肠差不多粗细吗""},{""role"":""assistant"",""content"":""亲,我们的肠衣口径3.8-4.0左右,和外边的烤肠差不多粗细哦。""},{""role"":""user"",""content"":""能灌10斤肉的有几根？""},{""role"":""assistant"",""content"":""没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦""},{""role"":""user"",""content"":""灌完就直接蒸煮不会破吧？""}]","亲,灌好后扎孔风干,小火蒸煮,避免蒸煮爆裂哦。","亲,灌好后扎孔风干,小火蒸煮,避免蒸煮爆裂哦。","22, 23","['问题：""灌完就可以煮吗"", 答案：""罐好后系绳子扎孔，风干或者蒸煮，根据个人口感哦""。""', '问题：""我不风干，可以直接灌完煮或者蒸吗？有时间要求吗？"", 答案：""需要风干排气，避免蒸煮爆裂""', '问题：""肠衣能用水煮吗"", 答案：""灌完可以蒸煮都可以的""', '问题：""不容易爆"", 答案：""灌完以后扎孔风干，小火蒸煮避免爆裂""', '问题：""看着有点干吧灌完直接蒸还是风干"", 答案：""可以适当少加一些，灌好以后扎孔风干，充分排气，避免蒸煮爆裂""']"
176,能灌10斤肉的有几根？,"[{""role"":""assistant"",""content"":""很高兴为您服务,请问有什么可以帮您？""},{""role"":""user"",""content"":""你好这款肠衣灌完直接上锅蒸或煮都可以吗""},{""role"":""assistant"",""content"":""罐好后系绳子扎孔,风干或者蒸煮,根据个人口感哦\""。""},{""role"":""user"",""content"":""和外边的烤肠差不多粗细吗""},{""role"":""assistant"",""content"":""亲,我们的肠衣口径3.8-4.0左右,和外边的烤肠差不多粗细哦。""},{""role"":""user"",""content"":""能灌10斤肉的有几根？""}]","亲,一袋是由多根组成的哦,具体几根需要咨询我们的客服人员哦。","没有长短的规格哦,都是天然猪小肠,没办法保证长短粗细哦","22, 23","['问题：""能灌10斤肉的有几根？"", 答案：""没有长短的规格哦，都是天然猪小肠，没办法保证长短粗细哦""', '问题：""这个是一根灌10斤吗？"", 答案：""一袋是由多根组成的亲""', '问题：""这个能灌几斤肉"", 答案：""8斤左右""', '问题：""选这个是可以灌10斤的吗？"", 答案：""是的亲8-10斤左右""', '问题：""这个能灌多少斤肉"", 答案：""猪肠衣五斤一包4-5米左右，口径3.8-4.0左右，灌大约4斤肉 10斤一包8-10米左右，口径3.8-4.0左右，灌大约8-10斤肉。""']"
